sukunimi;etunimi;id;vaalipiiri;puolue;IP;KD;KESK;KOK;KTP;M11;PIR;PS;PSYL;RKP;SDP;SKP;STP;VAS;VIHR;puolue.e;correct
Karlsson;Jouni;5910;02 Uusimaa;PIR;0.00304065235377079;0.00021274509636039;0.022745058096998;0.00428348063554446;0.0027195772411915;0.00106331800179816;0.853078670235725;0.0119425081030639;0.00500813903949813;0.00058036795512402;0.0107802303119404;0.000444244004003586;0.00416711870575586;0.0164359837166117;0.0634979065026141;pir;1
Karlsson;Julius;4259;03 Varsinais-Suomi;VAS;4.43977608539679e-05;0.000834810555800278;0.0001664097285945;0.00108262464308004;0.00090714213146331;0.000115796336540543;0.00870203694885836;0.000426065757597882;0.00234938948868621;0.587505244431611;0.122664454437727;0.00194358380418341;0.000541574992646646;0.155012251335839;0.117704217646518;rkp;0
Karlsson;Patrik;4677;02 Uusimaa;RKP;0.000361257507623145;0.0789918047339788;0.0257572133646726;0.0289172341260932;0.00463317137348451;0.00300735902829995;0.0612426486017351;0.00404738364593767;0.0249860537203621;0.676771539572473;0.0322031207134504;0.00243368780590593;0.00282653726995004;0.0240667558243947;0.0297542327116389;rkp;1
Karmala-Vanamo;Jaana;4209;04 Satakunta;VAS;0.0152464464010762;0.000437777629138023;0.0833926528595384;0.0013756741744107;0.00682842634776848;0.0075949335722778;0.523990189350406;0.0721924991924312;0.010760220271569;0.00338074970936756;0.0384042762254214;0.00298736529854002;0.00650005693199933;0.162251978552167;0.0646567534838887;pir;0
Karvinen;Tapani;5062;02 Uusimaa;PIR;0.0289308740324757;0.000321095931495305;0.0918170992475019;0.0164214396073563;0.00489837976657276;0.00666425747369211;0.694515886021436;0.00759005950240049;0.00589997809140987;0.00115658280508558;8.0420051164496e-05;0.00718739733673367;0.0128405021237699;0.000858880440087435;0.120817147568819;pir;1
Karvonen;Matti;5499;07 Pirkanmaa;IP;0.61213107229481;0.00202508423550617;0.0263906925652257;0.000302518994102637;0.00405116532917141;0.0449710930568072;0.0512253929689241;0.227593236328745;0.00301995045188459;8.40325483908075e-05;0.000763841842854321;0.0110863383173132;0.00781033499855787;0.00659953118467391;0.00194571488303313;ip;1
Kaskiharju;Jouni;4246;02 Uusimaa;M11;0.0167373668815391;0.14393577514464;0.0123076479769932;0.00187720755133951;0.00228750756198291;0.0925077924299855;0.00362075237532477;0.698463127423882;0.00357161551285764;0.000155265951670522;0.0189504301242624;0.0013181950862406;0.00329690088842074;0.000911235489090027;5.91796017712055e-05;ps;0
Kassinen;Otso;4843;12 Oulu;PIR;0.0321058356820016;0.0010460473318162;0.0536325651788683;0.0198982336819759;0.00871702758216158;0.118358731122522;0.448336853686728;0.163806988497;0.0131788663754147;0.00213618149831322;0.00845357581807497;0.00250567478123158;0.010332797259265;0.00303461268462118;0.114456008820006;pir;1
Kasvi;Jyrki;5704;02 Uusimaa;VIHR;0.000189380235849013;0.0008982806966471;0.00592513164752383;0.00989173274997961;0.00198139377260281;0.000275505465132464;0.10184861039601;0.000213669823899649;0.00498026188751068;0.0273193800437314;0.0349703899093473;0.00298389089525054;0.00114755309431311;0.045699377465223;0.76167544191698;vihr;1
Katainen;Elsi;4902;09 Savo-Karjalan vaalipiiri;KESK;0.00601684742780258;0.0744268943325694;0.522284812351177;0.0283988071991017;0.0121955794706611;0.00798982329979532;0.0176483750202371;0.0154434493616276;0.0239098120236238;0.0413246030710168;0.126156365340243;0.00660999744711738;0.0283004859424507;0.0498940908952433;0.0394000568173331;kesk;1
